"exam_year","varname_longi","non_missing_per","Variable.Name","Variable.Label","Num.non.missing.participants","categorical_or_continuous","Datadoc","var_group"
0,"BMI",0.996286161063331,"A20BMI","BODY MASS INDEX, KG/M**2",5097,1,"a4f20","anthropometry"
2,"BMI",0.897360703812317,"B20BMI","",4590,1,"b2f20","anthropometry"
5,"BMI",0.844292682926829,"C20BMI","BODY MASS INDEX (KG/M**2)",4327,1,"c1f20","anthropometry"
7,"BMI",0.779276637341153,"D20BMI","BODY MASS INDEX (KG/M**2)",3986,1,"d1f20a","anthropometry"
10,"BMI",0.759530791788856,"E20BMI","BODY MASS INDEX (KG/M**2)",3885,1,"e1f20","anthropometry"
15,"BMI",0.709286412512219,"F20BMI","BODY MASS INDEX (KG/M**2)",3628,1,"f2f20","anthropometry"
20,"BMI",0.689931573802542,"G20BMI","BODY MASS INDEX (KG/M**2)",3529,1,"g3f20","anthropometry"
25,"BMI",0.682306940371456,"H20BMI","BODY MASS INDEX (KG/M**2)",3490,1,"h3f20","anthropometry"
0,"HGT",0.997068021892103,"A20HGT","PT'S HGT, CM",5101,1,"a4f20","anthropometry"
2,"HGT",0.899511241446725,"B20HGT","SUBJECT'S HEIGHT STANDING IN CM",4601,1,"b2f20","anthropometry"
5,"HGT",0.844292682926829,"C20HGT","SUBJECT'S HEIGHT STANDING (CM)",4327,1,"c1f20","anthropometry"
7,"HGT",0.779863147605083,"D20HGT","SUBJECT'S HEIGHT STANDING (CM)",3989,1,"d1f20a","anthropometry"
10,"HGT",0.760508308895406,"E20HGT","SUBJECT'S HEIGHT STANDING (CM)",3890,1,"e1f20","anthropometry"
15,"HGT",0.709677419354839,"F20HGT","SUBJECT'S HEIGHT STANDING (CM)",3630,1,"f2f20","anthropometry"
20,"HGT",0.691300097751711,"G20HGT","SUBJECT'S HEIGHT STANDING (CM)",3536,1,"g3f20","anthropometry"
25,"HGT",0.682697947214076,"H20HGT","SUBJECT'S HEIGHT STANDING (CM)",3492,1,"h3f20","anthropometry"
0,"HIP",0.995895230648944,"A20HIP","MEAN HIP GIRTH, CM",5095,1,"a4f20","anthropometry"
2,"HIP",0.898142717497556,"B20HIP","MEAN( B20HIPS1, B20HIPS2 )",4594,1,"b2f20","anthropometry"
7,"HIP",0.776148582600195,"D20HIP","MEAN (D20HIPS1, D20HIPS2) (CM)",3970,1,"d1f20a","anthropometry"
10,"HIP",0.758553274682307,"E20HIP","MEAN (E20HIPS1, E20HIPS2) (CM)",3880,1,"e1f20","anthropometry"
25,"HIP",0.682502443792766,"H20HIP","MEAN OF H20HIP1 AND H20HIP2",3491,1,"h3f20","anthropometry"
0,"WGT",0.996481626270524,"A20WGT","PT'S WGT, LBS.",5098,1,"a4f20","anthropometry"
2,"WGT",0.897360703812317,"B20WGT","SUBJECT'S WEIGHT IN POUNDS",4590,1,"b2f20","anthropometry"
5,"WGT",0.844292682926829,"C20WGT","SUBJECT'S WEIGHT (LBS)",4327,1,"c1f20","anthropometry"
7,"WGT",0.781818181818182,"D20WGT","SUBJECT'S WEIGHT (LBS)",3999,1,"d1f20a","anthropometry"
10,"WGT",0.764418377321603,"E20WGT","SUBJECT'S WEIGHT (LBS)",3910,1,"e1f20","anthropometry"
15,"WGT",0.712023460410557,"F20WGT","SUBJECT'S WEIGHT (LBS)",3642,1,"f2f20","anthropometry"
20,"WGT",0.691300097751711,"G20WGT","SUBJECT'S WEIGHT (LBS)",3536,1,"g3f20","anthropometry"
25,"WGT",0.682502443792766,"H20WGT","SUBJECT'S WEIGHT (LBS)",3491,1,"h3f20","anthropometry"
0,"ARMCI",0.962666145426114,"A02ARMCI","ARM CIRCUMFERENCE IN CM",4925,1,"a4f02","blood_pressure"
2,"ARMCI",0.903421309872923,"B02ARMCI","ARM CIRCUMFERENCE IN CM",4621,1,"b2f02","blood_pressure"
5,"ARMCI",0.848780487804878,"C02ARMCI","ARM CIRCUMFERENCE IN CM",4350,1,"c1f02","blood_pressure"
7,"ARMCI",0.798631476050831,"D02ARMCI","ARM CIRCUMFERENCE IN CM",4085,1,"d1f02","blood_pressure"
10,"ARMCI",0.770869990224829,"E02ARMCI","ARM CIRCUMFERENCE (CM)",3943,1,"e1f02","blood_pressure"
15,"ARMCI",0.715151515151515,"F02ARMCI","ARM CIRCUMFERENCE (CM)",3658,1,"f1f02","blood_pressure"
20,"ARMCI",0.693255131964809,"G02ARMCI","ARM CIRCUMFERENCE (CM)",3546,1,"g3f02","blood_pressure"
25,"ARMCI",0.682697947214076,"H02ARMCI","ARM CIRCUMFERENCE (CM)",3492,1,"h3f02v2","blood_pressure"
30,"ARMCI",0.656176700547303,"I02ARMCI","ARM CIRCUMFERENCE (CM)",3357,1,"i1f02","blood_pressure"
2,"AVGDI",0.903616813294233,"B02AVGDI","AVERAGE DBP  (SUM_D/2)",4622,1,"b2f02","blood_pressure"
5,"AVGDI",0.848195121951219,"C02AVGDI","AVERAGE DBP  (SUM_D/2)",4347,1,"c1f02","blood_pressure"
7,"AVGDI",0.798240469208211,"D02AVGDI","AVERAGE DBP  (SUM_D/2)",4083,1,"d1f02","blood_pressure"
10,"AVGDI",0.76950146627566,"E02AVGDI","AVERAGE DBP  (SUM_D/2)",3936,1,"e1f02","blood_pressure"
15,"AVGDI",0.714956011730205,"F02AVGDI","AVERAGE DBP  (SUM_D/2)",3657,1,"f1f02","blood_pressure"
2,"AVGSY",0.903616813294233,"B02AVGSY","AVERAGE SBP (SUM_S/2)",4622,1,"b2f02","blood_pressure"
5,"AVGSY",0.848195121951219,"C02AVGSY","AVERAGE SBP (SUM_S/2)",4347,1,"c1f02","blood_pressure"
7,"AVGSY",0.798240469208211,"D02AVGSY","AVERAGE SBP (SUM_S/2)",4083,1,"d1f02","blood_pressure"
10,"AVGSY",0.76950146627566,"E02AVGSY","AVERAGE SBP (SUM_S/2)",3936,1,"e1f02","blood_pressure"
15,"AVGSY",0.714956011730205,"F02AVGSY","AVERAGE SBP (SUM_S/2)",3657,1,"f1f02","blood_pressure"
20,"DAVG",0.6930596285435,"G02DAVG","AVERAGE DBP (G02DSUM/2)",3545,1,"g3f02","blood_pressure"
25,"DAVG",0.682502443792766,"H02DAVG","AVERAGE DBP (H02DSUM/2)",3491,1,"h3f02v2","blood_pressure"
30,"DAVG",0.656176700547303,"I02DAVG","AVERAGE DBP (I02DSUM/2)",3357,1,"i1f02","blood_pressure"
0,"POP",0.999413604378421,"A02POP","A02PULSE OBLITERATION PRESSURE",5113,1,"a4f02","blood_pressure"
2,"POP",0.903421309872923,"B02POP","PULSE OBLITERATION PRESSURE",4621,1,"b2f02","blood_pressure"
5,"POP",0.848585365853659,"C02POP","PULSE OBLITERATION PRESSURE",4349,1,"c1f02","blood_pressure"
7,"POP",0.798631476050831,"D02POP","PULSE OBLITERATION PRESSURE",4085,1,"d1f02","blood_pressure"
10,"POP",0.770869990224829,"E02POP","PULSE OBLITERATION PRESSURE",3943,1,"e1f02","blood_pressure"
15,"POP",0.714956011730205,"F02POP","PULSE OBLITERATION PRESSURE",3657,1,"f1f02","blood_pressure"
25,"POPRES",0.00312805474095797,"H02POPRES","PULSE OBLITERATION PRESSURE",16,1,"h3f02v2","blood_pressure"
30,"POPRES",0.00390930414386239,"I02POPRES","PULSE OBLITERATION PRESSURE",20,1,"i1f02","blood_pressure"
0,"PULSE",0.997654417513683,"A02PULSE","A02PULSE BEATS IN 30 SECONDS",5104,1,"a4f02","blood_pressure"
2,"PULSE",0.903421309872923,"B02PULSE","PULSE BEATS IN 30 SECONDS",4621,1,"b2f02","blood_pressure"
5,"PULSE",0.848780487804878,"C02PULSE","PULSE BEATS IN 30 SECONDS",4350,1,"c1f02","blood_pressure"
7,"PULSE",0.798044965786901,"D02PULSE","PULSE BEATS IN 30 SECONDS",4082,1,"d1f02","blood_pressure"
10,"PULSE",0.770674486803519,"E02PULSE","PULSE BEATS IN 30 SECONDS",3942,1,"e1f02","blood_pressure"
15,"PULSE",0.715151515151515,"F02PULSE","PULSE BEATS IN 30 SECONDS",3658,1,"f1f02","blood_pressure"
20,"PULSE",0.69266862170088,"G02PULSE","PULSE BEATS IN 30 SECONDS",3543,1,"g3f02","blood_pressure"
25,"PULSE",0.682306940371456,"H02PULSE","PULSE BEATS IN 30 SECONDS",3490,1,"h3f02v2","blood_pressure"
30,"PULSE",0.655785770132916,"I02PULSE","PULSE BEATS IN 30 SECONDS",3355,1,"i1f02","blood_pressure"
20,"SAVG",0.6930596285435,"G02SAVG","AVERAGE SBP (G02SSUM/2)",3545,1,"g3f02","blood_pressure"
25,"SAVG",0.682697947214076,"H02SAVG","AVERAGE SBP (H02SSUM/2)",3492,1,"h3f02v2","blood_pressure"
30,"SAVG",0.656372165754496,"I02SAVG","AVERAGE SBP (I02SSUM/2)",3358,1,"i1f02","blood_pressure"
0,"PREG",0.999022673964034,"A01PREG","PREGNANCY STATUS",5111,0,"a4f01","demographics"
0,"SEX",0.999804534792807,"A01SEX","EXAM 1 SEX, TELEPHONE INTERVIEW",5115,0,"a4f01","demographics"
0,"ALBUM",0.986903831118061,"AL3ALBUM","ALBUMIN (GM/DL)",5049,1,"a5chem","lab"
0,"APOB",0.986708365910868,"AL1APOB","APOLIPOPROTEIN B (MG/DL)",5048,1,"a4lip","lab"
2,"APOB",0.879374389051808,"BL1APOB","APOLIPOPROTEIN B (MG/DL)",4498,1,"b2lip","lab"
5,"APOB",0.116487804878049,"CL9APOB","APOLIPOPROTEIN B (MG/DL)",597,1,"c1apob","lab"
10,"APOB",0.116520039100684,"EL9APOB","APOLIPOPROTEIN B (MG/DL)",596,1,"e1apob","lab"
7,"CGLU",0.780058651026393,"DL7CGLU","NIST STANDARD RECALIBRATED YEAR 7 GLUCOSE (MG/DL)",3990,1,"d3glu","lab"
10,"CGLU",0.750146627565982,"EL7CGLU","NIST STANDARD RECALIBRATED YEAR 10 GLUCOSE (MG/DL)",3837,1,"e3glu","lab"
15,"CGLU",0.704594330400782,"FL7CGLU","NIST STANDARD RECALIBRATED YEAR 15 GLUCOSE (MG/DL)",3604,1,"f2glu","lab"
20,"CGLU",0.684457478005865,"GL7CGLU","NIST STANDARD RECALIBRATED YEAR 20 GLUCOSE (MG/DL)",3501,1,"g5glu","lab"
0,"CHOL",0.990031274433151,"AL1CHOL","TOTAL CHOLESTEROL (MG/DL)",5065,1,"a4lip","lab"
2,"CHOL",0.87644183773216,"BL1CHOL","TOTAL PLASMA CHOLESTEROL (MG/DL)",4483,1,"b2lip","lab"
5,"CHOL",0.82809756097561,"CL1CHOL","TOTAL CHOLESTEROL (MG/DL)",4244,1,"c1lip","lab"
7,"CHOL",0.783382209188661,"DL1CHOL","TOTAL PLASMA CHOLESTEROL (MG/DL)",4007,1,"d1lip","lab"
10,"CHOL",0.757184750733138,"EL1CHOL","TOTAL PLASMA CHOLESTEROL (mg/dL)",3873,1,"e1lip","lab"
15,"CHOL",0.706158357771261,"FL1CHOL","TOTAL PLASMA CHOLESTEROL (mg/dL)",3612,1,"f1lip","lab"
20,"CHOL",0.685434995112414,"GL1CHOL","TOTAL PLASMA CHOLESTEROL (mg/dL)",3506,1,"g3lip","lab"
25,"CHOL",0.680156402737048,"HL1CHOL","TOTAL PLASMA CHOLESTEROL (MG/DL)",3479,1,"h3lip","lab"
30,"CHOL",0.648944487881157,"IL1CHOL","TOTAL PLASMA CHOLESTEROL (MG/DL)",3320,1,"i2lip","lab"
0,"CREAT",0.986903831118061,"AL3CREAT","CREATININE (MG/DL)",5049,1,"a5chem","lab"
10,"CREAT",0.756207233626588,"EL7CREAT","SERUM CREATININE (mg/dL)",3868,1,"e2chem","lab"
15,"CREAT",0.142521994134897,"FL1CREAT","URINARY CREATININE (mg/ml)",729,1,"f2catech","lab"
15,"CREAT",0.703616813294233,"FL7CREAT","SERUM CREATININE (mg/dL)",3599,1,"f2chem","lab"
20,"CREAT",0.684457478005865,"GL7CREAT","SERUM CREATININE (mg/dL)",3501,1,"g4chem","lab"
25,"CREAT",0.679960899315738,"HL7CREAT","SERUM CREATININE (MG/DL)",3478,1,"h3chem","lab"
30,"CREAT",0.646989835809226,"IL7CREAT","SERUM CREATININE (MG/DL)",3310,1,"i2chem","lab"
15,"CRP",0.705962854349951,"FL6CRP","C-REACTIVE PROTEIN IN uG PER ML",3611,1,"f2crp","lab"
7,"CRPBN",0.765982404692082,"DL6CRPBN","Y7 CRP (BNII Method) in uG per ML",3918,1,"d1crp","lab"
15,"CRPBN",0.686217008797654,"FL6CRPBN","RERUN CRP (uG/ml - BNII METHOD)",3510,1,"f2crp","lab"
20,"CRPBN",0.683284457478006,"GL6CRPBN","C-REACTIVE PROTEIN (ug/mL) - MEASURED BY BN II METHOD",3495,1,"g3crp","lab"
25,"CRPBN",0.678983382209189,"HL6CRPBN","C-REACTIVE PROTEIN (uG/ML) - HIGH SENSITIVITY",3473,1,"h3crp","lab"
10,"CUACID",0.756402737047898,"EL7CUACID","NIST STANDARD RECALIBRATED SERUM URIC ACID (MG/DL)",3869,1,"e2chem","lab"
15,"CUACID",0.704594330400782,"FL7CUACID","NIST STANDARD RECALIBRATED SERUM URIC ACID (MG/DL)",3604,1,"f2chem","lab"
15,"EPI",0.133919843597263,"FL1EPI","URINARY EPINEPHRINE (pmol/ml)",685,1,"f2catech","lab"
0,"GLU",0.983776387802971,"AL3_GLU","GLUCOSE (MG/100 ML)",5033,1,"a5chem","lab"
7,"GLU",0.780058651026393,"DL7GLU","YEAR 7 GLUCOSE (MG/DL)",3990,1,"d3glu","lab"
10,"GLU",0.750146627565982,"EL7GLU","YEAR 10 FASTING GLUCOSE (mg/dL)",3837,1,"e3glu","lab"
15,"GLU",0.704594330400782,"FL7GLU","FASTING GLUCOSE (mg/dL)",3604,1,"f2glu","lab"
20,"GLU",0.684457478005865,"GL7GLU","FASTING GLUCOSE (mg/dL)",3501,1,"g5glu","lab"
25,"GLU",0.679960899315738,"HL7GLU","FASTING GLUCOSE (MG/DL) - VISIT #1",3478,1,"h3glu","lab"
30,"GLU",0.647185301016419,"IL7GLU","FASTING GLUCOSE (MG/DL) - VISIT #1",3311,1,"i3glu","lab"
0,"HDL",0.990031274433151,"AL1HDL","TOTAL HDL CHOLESTEROL (MG/DL)",5065,1,"a4lip","lab"
2,"HDL",0.87624633431085,"BL1HDL","TOTAL HDL CHOLESTEROL (MG/DL)",4482,1,"b2lip","lab"
5,"HDL",0.82809756097561,"CL1HDL","TOTAL HDL CHOLESTEROL (MG/DL)",4244,1,"c1lip","lab"
7,"HDL",0.783382209188661,"DL1HDL","TOTAL HDL CHOLESTEROL (MG/DL)",4007,1,"d1lip","lab"
10,"HDL",0.757184750733138,"EL1HDL","TOTAL HDL CHOLESTEROL (mg/dL)",3873,1,"e1lip","lab"
15,"HDL",0.706158357771261,"FL1HDL","TOTAL HDL CHOLESTEROL (mg/dL)",3612,1,"f1lip","lab"
20,"HDL",0.685434995112414,"GL1HDL","TOTAL HDL CHOLESTEROL (mg/dL)",3506,1,"g3lip","lab"
25,"HDL",0.680156402737048,"HL1HDL","TOTAL HDL CHOLESTEROL (MG/DL)",3479,1,"h3lip","lab"
30,"HDL",0.648944487881157,"IL1HDL","TOTAL HDL CHOLESTEROL (MG/DL)",3320,1,"i2lip","lab"
0,"INS",0.985926505082095,"AL4INS","INSULIN (uU/ML)",5044,1,"a4ins","lab"
10,"INS",0.755034213098729,"EL7INS","YEAR 10 FASTING INSULIN (uU/mL)",3862,1,"e1ins","lab"
15,"INS",0.700488758553275,"FL7INS","FASTING INSULIN (uU/mL)",3583,1,"f1ins","lab"
20,"INS",0.684261974584555,"GL7INS","FASTING INSULIN (uU/mL)",3500,1,"g3ins","lab"
25,"INS",0.675855327468231,"HL7INS","YEAR 25 FASTING INSULIN (uU/ML)",3457,1,"h4ins","lab"
30,"INS",0.645230648944488,"IL7INS","YEAR 30 FASTING INSULIN (uU/ML)",3301,1,"i3ins","lab"
0,"LDL",0.990031274433151,"AL1LDL","LDL CHOLESTEROL (MG/DL)",5065,1,"a4lip","lab"
2,"LDL",0.876050830889541,"BL1LDL","LDL CHOLESTEROL (MG/DL)",4481,1,"b2lip","lab"
5,"LDL",0.824780487804878,"CL1LDL","LDL CHOLESTEROL (MG/DL)",4227,1,"c1lip","lab"
7,"LDL",0.777908113391984,"DL1LDL","LDL CHOLESTEROL (MG/DL)",3979,1,"d1lip","lab"
10,"LDL",0.751710654936461,"EL1LDL","LDL CHOLESTEROL (mg/dL)",3845,1,"e1lip","lab"
15,"LDL",0.698533724340176,"FL1LDL","LDL CHOLESTEROL (mg/dL)",3573,1,"f1lip","lab"
20,"LDL",0.67761485826002,"GL1LDL","LDL CHOLESTEROL (mg/dL)",3466,1,"g3lip","lab"
25,"LDL",0.673118279569892,"HL1LDL","LDL CHOLESTEROL (MG/DL)",3443,1,"h3lip","lab"
30,"LDL",0.64288506645817,"IL1LDL","LDL CHOLESTEROL (MG/DL)",3289,1,"i2lip","lab"
0,"NTRIG",0.989835809225958,"AL1NTRIG","TRIGLYCERIDES (MG/DL)",5064,1,"a4lip","lab"
2,"NTRIG",0.87644183773216,"BL1NTRIG","TRIGLYCERIDES (MG/DL)",4483,1,"b2lip","lab"
5,"NTRIG",0.82809756097561,"CL1NTRIG","TRIGLYCERIDES (MG/DL)",4244,1,"c1lip","lab"
7,"NTRIG",0.783382209188661,"DL1NTRIG","TRIGLYCERIDES (MG/DL)",4007,1,"d1lip","lab"
10,"NTRIG",0.757184750733138,"EL1NTRIG","TRIGLYCERIDES (mg/dL)",3873,1,"e1lip","lab"
15,"NTRIG",0.706158357771261,"FL1NTRIG","TRIGLYCERIDES (mg/dL)",3612,1,"f1lip","lab"
20,"NTRIG",0.685434995112414,"GL1NTRIG","TRIGLYCERIDES (mg/dL)",3506,1,"g3lip","lab"
25,"NTRIG",0.680156402737048,"HL1NTRIG","TRIGLYCERIDES (MG/DL)",3479,1,"h3lip","lab"
30,"NTRIG",0.648944487881157,"IL1NTRIG","TRIGLYCERIDES (MG/DL)",3320,1,"i2lip","lab"
10,"RATIO",0.684066471163245,"EL8RATIO","ALB/CREAT RATIO (mg/g): 1000(UALB/UCRET)",3499,1,"e1micro","lab"
15,"RATIO",0.654740957966764,"FL1RATIO","ALB/CREAT RATIO (mg/g) 1000*(UALB/UCRET)",3349,1,"f1micro","lab"
20,"RATIO",0.665102639296188,"GL1RATIO","ALB/CREAT RATIO (mg/g) 1000*(UALB/UCRET)",3402,1,"g3micro","lab"
25,"RATIO",0.665884652981427,"HL1RATIO","ALB/CREAT RATIO (MG/G) 1000*(UALB/UCRET)",3406,1,"h3micro","lab"
30,"RATIO",0.651876465989054,"IL1RATIO","ALB/CREAT RATIO (MG/G) 1000*(UALB/UCRET)",3335,1,"i2micro","lab"
10,"UACID",0.756402737047898,"EL7UACID","SERUM URIC ACID (mg/dL)",3869,1,"e2chem","lab"
15,"UACID",0.704594330400782,"FL7UACID","SERUM URIC ACID (mg/dL)",3604,1,"f2chem","lab"
10,"UALB",0.684652981427175,"EL8UALB","URINARY ALBUMIN (mg/dl)",3502,1,"e1micro","lab"
15,"UALB",0.654740957966764,"FL1UALB","URINARY ALBUMIN",3349,1,"f1micro","lab"
20,"UALB",0.665102639296188,"GL1UALB","URINARY ALBUMIN (mg/dL)",3402,1,"g3micro","lab"
25,"UALB",0.665884652981427,"HL1UALB","URINARY ALBUMIN (MG/DL)",3406,1,"h3micro","lab"
30,"UALB",0.652071931196247,"IL1UALB","URINARY ALBUMIN (MG/DL)",3336,1,"i2micro","lab"
5,"VLDL",0.82809756097561,"CL1VLDL","VLDL CHOLESTEROL (MG/DL)",4244,1,"c1lip","lab"
7,"VLDL",0.779863147605083,"DL1VLDL","VLDL CHOLESTEROL (MG/DL)",3989,1,"d1lip","lab"
10,"VLDL",0.75386119257087,"EL1VLDL","VLDL CHOLESTEROL (mg/dL)",3856,1,"e1lip","lab"
15,"VLDL",0.698533724340176,"FL1VLDL","VLDL CHOLESTEROL (mg/dL)",3573,1,"f1lip","lab"
20,"VLDL",0.67761485826002,"GL1VLDL","VLDL CHOLESTEROL (mg/dL)",3466,1,"g3lip","lab"
25,"VLDL",0.673118279569892,"HL1VLDL","VLDL CHOLESTEROL (MG/DL)",3443,1,"h3lip","lab"
30,"VLDL",0.64288506645817,"IL1VLDL","VLDL CHOLESTEROL (MG/DL)",3289,1,"i2lip","lab"
0,"ASMA",0.998631743549648,"A08ASMA","TAKE MEDICINE FOR ASTHMA",5109,0,"a4f08","medical_history"
2,"ASMA",0.896383186705767,"B08ASMA","TAKE MEDICINE FOR ASTHMA",4585,0,"b2f08","medical_history"
5,"ASMA",0.848390243902439,"C08ASMA","CURRENTLY TAKING ASTHMA MEDICATION",4348,0,"c1f08","medical_history"
7,"ASMA",0.797653958944281,"D08ASMA","CURRENTLY TAKING MEDS FOR ASTHMA",4080,0,"d1f08a","medical_history"
10,"ASMA",0.76930596285435,"E08ASMA","CURRENTLY TAKING MEDS FOR ASTHMA",3935,0,"e1f08","medical_history"
15,"ASMA",0.717693059628543,"F08ASMA","CURRENTLY TAKING MEDS FOR ASTHMA",3671,0,"f1f08","medical_history"
20,"ASMA",0.693450635386119,"G08ASMA","CURRENTLY TAKING MEDS FOR ASTHMA",3547,0,"g3f08","medical_history"
25,"ASMA",0.680938416422287,"H08ASMA","CURRENTLY TAKING MEDS FOR ASTHMA",3483,0,"h3f08","medical_history"
30,"ASMA",0.654808444096951,"I08ASMA","CURRENTLY TAKING MEDS FOR ASTHMA",3350,0,"i1f08","medical_history"
7,"ASTH",0.797262952101662,"D08ASTH","ASTHMA",4078,0,"d1f08a","medical_history"
10,"ASTH",0.76930596285435,"E08ASTH","ASTHMA?",3935,0,"e1f08","medical_history"
15,"ASTH",0.716911045943304,"F08ASTH","ASTHMA?",3667,0,"f1f08","medical_history"
20,"ASTH",0.691300097751711,"G08ASTH","ASTHMA?",3536,0,"g3f08","medical_history"
25,"ASTH",0.680938416422287,"H08ASTH","ASTHMA?",3483,0,"h3f08","medical_history"
30,"ASTH",0.655590304925723,"I08ASTH","ASTHMA?",3354,0,"i1f08","medical_history"
5,"BLD",0.0113170731707317,"C08BLD","BLOOD/LYMPH CANCER",58,0,"c1f08","medical_history"
7,"BLD",0.0164222873900293,"D08BLD","BLOOD OR LYMPH CANCER?",84,0,"d1f08a","medical_history"
10,"BLD",0.0213098729227761,"E08BLD","BLOOD OR LYMPH CANCER?",109,0,"e1f08","medical_history"
15,"BLD",0.00136852394916911,"F08BLD","BLOOD OR LYMPH CANCER?",7,0,"f1f08","medical_history"
20,"BLD",0.0238514173998045,"G08BLD","BLOOD OR LYMPH CANCER?",122,0,"g3f08","medical_history"
25,"BLD",0.00234604105571848,"H08BLD","BLOOD OR LYMPH CANCER?",12,0,"h3f08","medical_history"
30,"BLD",0.00293197810789679,"I08BLD","BLOOD OR LYMPH CANCER?",15,0,"i1f08","medical_history"
5,"BON",0.0113170731707317,"C08BON","BONE CANCER",58,0,"c1f08","medical_history"
7,"BON",0.0164222873900293,"D08BON","BONE CANCER?",84,0,"d1f08a","medical_history"
10,"BON",0.0213098729227761,"E08BON","BONE CANCER?",109,0,"e1f08","medical_history"
15,"BON",0.000391006842619746,"F08BON","BONE CANCER?",2,0,"f1f08","medical_history"
20,"BON",0.0236559139784946,"G08BON","BONE CANCER?",121,0,"g3f08","medical_history"
25,"BON",0.000586510263929619,"H08BON","BONE CANCER?",3,0,"h3f08","medical_history"
30,"BON",0.000390930414386239,"I08BON","BONE CANCER?",2,0,"i1f08","medical_history"
5,"BRN",0.0113170731707317,"C08BRN","BRAIN CANCER",58,0,"c1f08","medical_history"
7,"BRN",0.0164222873900293,"D08BRN","BRAIN CANCER?",84,0,"d1f08a","medical_history"
10,"BRN",0.0213098729227761,"E08BRN","BRAIN CANCER?",109,0,"e1f08","medical_history"
15,"BRN",0.000977517106549365,"F08BRN","BRAIN CANCER?",5,0,"f1f08","medical_history"
20,"BRN",0.0236559139784946,"G08BRN","BRAIN CANCER?",121,0,"g3f08","medical_history"
25,"BRN",0.000782013685239492,"H08BRN","BRAIN CANCER?",4,0,"h3f08","medical_history"
30,"BRN",0.000977326035965598,"I08BRN","BRAIN CANCER?",5,0,"i1f08","medical_history"
7,"BRON",0.797262952101662,"D08BRON","CHRONIC BRONCHITIS",4078,0,"d1f08a","medical_history"
10,"BRON",0.76930596285435,"E08BRON","CHRONIC BRONCHITIS?",3935,0,"e1f08","medical_history"
15,"BRON",0.716911045943304,"F08BRON","CHRONIC BRONCHITIS?",3667,0,"f1f08","medical_history"
20,"BRON",0.693255131964809,"G08BRON","CHRONIC BRONCHITIS?",3546,0,"g3f08","medical_history"
25,"BRON",0.680938416422287,"H08BRON","CHRONIC BRONCHITIS?",3483,0,"h3f08","medical_history"
30,"BRON",0.65539483971853,"I08BRON","CHRONIC BRONCHITIS?",3353,0,"i1f08","medical_history"
5,"BRS",0.0113170731707317,"C08BRS","BREAST CANCER",58,0,"c1f08","medical_history"
7,"BRS",0.0164222873900293,"D08BRS","BREAST CANCER?",84,0,"d1f08a","medical_history"
10,"BRS",0.0213098729227761,"E08BRS","BREAST CANCER?",109,0,"e1f08","medical_history"
15,"BRS",0.00312805474095797,"F08BRS","BREAST CANCER?",16,0,"f1f08","medical_history"
20,"BRS",0.026197458455523,"G08BRS","BREAST CANCER?",134,0,"g3f08","medical_history"
25,"BRS",0.0134897360703812,"H08BRS","BREAST CANCER?",69,0,"h3f08","medical_history"
30,"BRS",0.0170054730258014,"I08BRS","BREAST CANCER?",87,0,"i1f08","medical_history"
0,"BRTHC",0.544175136825645,"A08BRTHC","EVER TAKEN BIRTH CONTROL PILLS",2784,0,"a4f08","medical_history"
